"Weeks","Infected_Ratio"
280,0.988214808799256
281,0.991693800531917
282,0.995173797383383
283,0.998654373394358
284,1.00213511010543
285,1.00561559217625
286,1.00909540308312
287,1.01257412082174
288,1.01605131354256
289,1.01952653504523
290,1.0229993200562
291,1.02646917920892
292,1.02993559364024
293,1.03339800910825
294,1.03685582952681
295,1.04030840979895
296,1.04375504781629
297,1.04719497547275
298,1.05062734851888
299,1.05405123505679
300,1.05746560244457
