"Weeks","Infected_Ratio"
1,0.9
2,0.90306
3,0.9061723476
4,0.909330450479879
5,0.912528619972574
6,0.91576193813428
7,0.919026144863365
8,0.922317542068125
9,0.925632912296544
10,0.928969449612149
11,0.932324700827234
12,0.935696515489559
13,0.939083003264212
14,0.942482497562398
15,0.945893524447778
16,0.949314776002364
17,0.952745087461945
18,0.956183417538662
19,0.959628831438905
20,0.963080486160637
21,0.966537617717924
22,0.969999529993657
23,0.97346558496602
24,0.976935194091338
25,0.980407810656873
26,0.983882922942775
27,0.987360048053588
28,0.990838726297097
29,0.994318516002423
30,0.997798988680614
31,1.00127972443979
32,1.00476030757361
33,1.00824032224641
34,1.01171934820145
35,1.01519695641954
36,1.01867270465505
37,1.02214613277406
38,1.02561675781539
39,1.02908406868973
40,1.03254752042443
41,1.03600652785167
42,1.03946045862592
43,1.04290862544153
44,1.0463502773039
45,1.04978458968618
46,1.05321065337839
47,1.05662746180602
48,1.06003389655989
49,1.06342871083779
50,1.06681051044985
51,1.07017773198262
52,1.0735286176505
53,1.0768611862859
54,1.08017319982937
55,1.08346212457712
56,1.0867250863234
57,1.08995881839804
58,1.0931596014429
59,1.09632319359533
60,1.09944474955016
61,1.10251872675676
62,1.10553877677632
63,1.10849761958436
64,1.1113868983633
65,1.11419701210982
66,1.11691692320628
67,1.119533937016
68,1.12203345061636
69,1.12439866806401
70,1.1266102802068
71,1.12864610817396
72,1.13048071149658
73,1.13208496460466
74,1.13342560955516
75,1.13446479868097
76,1.13515964888813
77,1.13546184006933
78,1.13531730399973
79,1.13466606740446
80,1.1334423334953
81,1.13157490927715
82,1.12898810921351
83,1.12560328550758
84,1.12134114499549
85,1.11612500335155
86,1.10988508722967
87,1.10256391106639
88,1.09412261636237
89,1.08454796349641
90,1.07385942056086
91,1.06211553412344
92,1.04941855398442
93,1.03591620065262
94,1.02179959576692
95,1.00729677605636
96,0.992661864124376
97,0.97816076245383
98,0.964054975042515
99,0.950585622601591
100,0.937959741584129
101,0.926340518418016
102,0.915842335340399
103,0.906530622426539
104,0.898425759282143
105,0.891509808724347
106,0.885734735654011
107,0.881030907786319
108,0.877314978781946
109,0.874496604682704
110,0.872483758325334
111,0.871186641040552
112,0.870520337882442
113,0.870406434215735
114,0.870773828568176
115,0.8715589601722
116,0.872705636399981
117,0.874164606916052
118,0.875892994718837
119,0.877853662706466
120,0.880014569095015
121,0.882348145750646
122,0.884830719461007
123,0.8874419863532
124,0.890164543080036
125,0.8929834741897
126,0.895885992578427
127,0.898861128572807
128,0.90189946260751
129,0.904992896375244
130,0.9081344575335
131,0.91131813342464
132,0.914538729714854
133,0.917791750328058
134,0.921073295509322
135,0.924379975279959
136,0.92770883593359
137,0.931057297566195
138,0.934423100933614
139,0.937804262189969
140,0.941199034283446
141,0.944605873976019
142,0.948023413615005
143,0.951450436920707
144,0.954885858169339
145,0.958328704247104
146,0.961778099132441
147,0.96523325043154
148,0.968693437649149
149,0.972158001924347
150,0.975626337000734
151,0.979097881233599
152,0.982572110464164
153,0.986048531613806
154,0.989526676869872
155,0.993006098350046
156,0.996486363144529
157,0.999967048645043
158,1.00344773807713
159,1.00692801615763
160,1.01040746480274
161,1.01388565881386
162,1.01736216146858
163,1.02083651994246
164,1.02430826048416
165,1.02777688326155
166,1.03124185678916
167,1.03470261183906
168,1.0381585347255
169,1.0416089598404
170,1.04505316129991
171,1.04849034354265
172,1.05191963069641
173,1.05534005450223
174,1.05875054055168
175,1.06214989255409
176,1.06553677430502
177,1.06890968897335
178,1.0722669552621
179,1.07560667992461
180,1.07892672603298
181,1.08222467629724
182,1.08549779061976
183,1.08874295693907
184,1.09195663426833
185,1.09513478666505
186,1.09827280668003
187,1.10136542662524
188,1.10440661577475
189,1.10738946137449
190,1.11030603109561
191,1.11314721433513
192,1.11590253957201
193,1.11855996485874
194,1.12110563852058
195,1.12352362731803
196,1.12579560980421
197,1.12790053351741
198,1.12981423617588
199,1.131509033433
200,1.1329532793189
201,1.13411091062593
202,1.13494099364345
203,1.13539730131106
204,1.1354279615207
205,1.13497523331857
206,1.13397548718177
207,1.13235948781538
208,1.13005310144442
209,1.12697857120758
210,1.12305651865778
211,1.11820882850805
212,1.11236254680211
213,1.10545485682589
214,1.09743907990765
215,1.08829147237409
216,1.07801835980214
217,1.06666288974198
218,1.05431044483016
219,1.04109161553905
220,1.02718167338089
221,1.01279578169408
222,0.998179746463659
223,0.983596869035788
224,0.969312247727673
225,0.955576465247746
226,0.942610799503273
227,0.930595824071572
228,0.91966459314185
229,0.909900734561018
230,0.901340949821749
231,0.893980837895228
232,0.887782707851731
233,0.882684097429832
234,0.878605972340685
235,0.875459925780981
236,0.873154032360508
237,0.87159727770573
238,0.87070266438683
239,0.870389192594674
240,0.870582949041258
241,0.871217531483372
242,0.872234007718774
243,0.873580570431541
244,0.875212011400729
245,0.877089104891811
246,0.879177962364091
247,0.881449399155729
248,0.883878337913978
249,0.886443262250023
250,0.889125726401792
251,0.891909921674233
252,0.894782297343575
253,0.897731231973386
254,0.90074675025651
255,0.903820280249451
256,0.906944445980127
257,0.910112890732357
258,0.913320126738298
259,0.916561407477466
260,0.919832619246868
261,0.923130189107541
262,0.926451006715831
263,0.929792357907974
264,0.933151868223047
265,0.936527454824269
266,0.939917285515082
267,0.943319743748493
268,0.946733398699855
269,0.950156979618627
270,0.95358935379726
271,0.957029507598583
272,0.960476530069772
273,0.96392959874372
274,0.967387967289557
275,0.970850954725009
276,0.974317935945909
277,0.977788333363614
278,0.981261609470672
279,0.984737260179525
