"Week","Infected","Susceptibles"
0,20,30000
1,18,30102
2,16.25508,30205.74492
3,14.7299040040258,30311.015015996
4,13.3943502435062,30417.6206657525
5,12.222727943136,30525.3979378093
6,11.1931090304942,30634.2048287788
7,10.2867598413304,30743.9180689375
8,9.48765905270099,30854.4304098848
9,8.78208947982829,30965.648320405
10,8.15829283052073,31077.4900275745
11,7.60617792247621,31189.883849652
12,7.1170741782546,31302.7667754737
13,6.6835233937695,31416.08325208
14,6.2991038206766,31529.7841482593
15,5.95828151380225,31643.8258667455
16,5.65628468063421,31758.1695820648
17,5.3889974427605,31872.7805846221
18,5.15286999192585,31987.6277146302
19,4.9448426089084,32102.6828720212
20,4.76228142377534,32217.9205905975
21,4.60292414223814,32333.3176664552
22,4.46483425456745,32448.8528322007
23,4.34636248939883,32564.5064697113
24,4.24611448217215,32680.2603552291
25,4.16292380326484,32796.0974314258
26,4.09582963954426,32912.0016017863
27,4.04405854971974,33027.9575432366
28,4.00700982247519,33143.9505334141
29,3.98424406029066,33259.9662893538
30,3.97547469401476,33375.9908146598
31,3.98056220614048,33492.0102524536
32,3.99951090655759,33608.0107415471
33,4.03246816525566,33723.9782733818
34,4.07972606379558,33839.898547318
35,4.14172548299074,33955.756821835
36,4.21906269969693,34071.5377591353
37,4.3124986224265,34187.2252605129
38,4.42297085521639,34302.8022896577
39,4.55160884338219,34418.2506808143
40,4.69975242517618,34533.5509283891
41,4.86897419176926,34648.6819541974
42,5.06110614641425,34763.620848051
43,5.27827125437056,34878.3425767966
44,5.52292059069582,34992.8196562059
45,5.79787692617295,35107.0217792797
46,6.10638574562211,35220.9153935341
47,6.45217487120517,35334.4632186629
48,6.8395240700094,35447.6236945929
49,7.2733462645141,35560.3503483284
50,7.75928224112481,35672.5910660872
51,8.30381107061994,35784.2872550166
52,8.91437881987353,35895.3728761967
53,9.59954855097093,36005.7733276458
54,10.3691750752197,36115.4041525706
55,11.2346084571096,36224.1695441134
56,12.2089308453621,36331.9606132681
57,13.3072318381143,36438.65338143
58,14.5469282524612,36544.1064531775
59,15.9481348387404,36648.1583183388
60,17.5340931135711,36750.6242252252
61,19.3316660144088,36851.2925592108
62,21.371906398618,36949.9206528122
63,23.6907073688479,37046.2299454433
64,26.3295417826964,37139.9004036606
65,29.3362967845009,37230.5641068761
66,32.7662063428112,37317.7979005333
67,36.682879988046,37401.1150205452
68,41.1594184115329,37479.9556021337
69,46.279595240217,37553.6760068935
70,52.1390677614384,37621.5369391321
71,58.8465559127659,37682.6903832193
72,66.5248963973868,37736.1654868219
73,75.3118349833641,37780.8536518385
74,85.3603624727368,37815.4932893658
75,96.8383264279683,37838.6549629378
76,109.926960626887,37848.7280023109
77,124.817868986634,37843.9101333243
78,141.707886508897,37822.2022468154
79,160.791130305248,37781.4111165102
80,182.247473938527,37719.1636425716
81,206.226668787979,37632.9369737837
82,232.827456864341,37520.1095169193
83,262.071350402876,37378.0381665164
84,293.871388131276,37204.1667783852
85,327.997204062947,36996.1695743222
86,364.039205442491,36752.1303688797
87,401.376490134174,36470.7538787456
88,439.155095531946,36151.5987832136
89,476.284764518243,35795.3140186954
90,511.462881247526,35403.8511374478
91,543.232671300528,34980.6184661473
92,570.078444393293,34530.540021754
93,590.553496189856,34059.9865255642
94,603.427323685539,33576.5592018786
95,607.830397732761,33088.7288041459
96,603.370055684863,32605.358748461
97,590.192913710515,32135.1658347505
98,568.97841469746,31686.187420053
99,540.862700582051,31265.324719471
100,507.307438870435,30878.0172806005
101,469.939435920555,30528.07784468
102,430.390430462031,30217.687414218
103,390.162104813171,29947.5253094048
104,350.531685259892,29716.9936241449
105,312.502435677869,29524.491188467
106,276.794262256372,29367.6969262106
107,243.864300145776,29243.8326260649
108,213.945803308066,29149.8868227568
109,187.094878579017,29082.7919441778
110,163.237242826043,29039.5547013517
111,142.210105270341,29017.3445960814
112,123.796788890235,29013.5478071912
113,107.753521585308,29025.7942856059
114,93.8289465325419,29051.9653390733
115,81.7774590739551,29090.1878799994
116,71.3676494643094,29138.8202305351
117,62.3870732404906,29196.4331572946
118,54.6444004123568,29261.7887568822
119,47.9697870483861,29333.8189698338
120,42.2141114789652,29411.6048583549
121,37.247542987976,29494.3573153669
122,32.9577702602055,29581.3995451067
